Key,Value/CheatCode,Value/CheatEffect,Value/Option1,Value/Option2
LuckyHeadgear,LILYFANCLUB,EPBCheatCommandType::AddItem,BunnyEars,1
RoyalAlchemist,ROYALALCHEMIST,EPBCheatCommandType::AddItem,Gold,99
HighJump,SEQUENCEBREAK,EPBCheatCommandType::AddItem,HighJump,1
InfiniteMP,SHARDMASTER,EPBCheatCommandType::AddItem,Gebelsglasses,1
Lethargy,SLOOWMOOTIOON,EPBCheatCommandType::AddItem,CurseDray,1
DiamondBullets,SNIPER,EPBCheatCommandType::AddItem,DiamondBullets,30
SpikeBreakerArmr,SPIKEBREAKER,EPBCheatCommandType::AddItem,BreastplateofAguilar,1
DoubleJump,STRONGLEGS,EPBCheatCommandType::AddItem,Doublejump,2
LuckBook,UPALLNIGHT,EPBCheatCommandType::AddItem,BookofFury,1
Potion,Potion,EPBCheatCommandType::AddItem,Potion,1
HighPotion,HighPotion,EPBCheatCommandType::AddItem,HighPotion,1
ExPotion,ExPotion,EPBCheatCommandType::AddItem,ExPotion,1
Ether,Ether,EPBCheatCommandType::AddItem,Ether,1
HighEther,HighEther,EPBCheatCommandType::AddItem,HighEther,1
ExEther,ExEther,EPBCheatCommandType::AddItem,ExEther,1
Mithridate,Mithridate,EPBCheatCommandType::AddItem,Mithridate,1
HolyWater,HolyWater,EPBCheatCommandType::AddItem,HolyWater,1
Stonethaw,Stonethaw,EPBCheatCommandType::AddItem,Stonethaw,1
Poison,Poison,EPBCheatCommandType::AddItem,Poison,1
Waystone,Waystone,EPBCheatCommandType::AddItem,Waystone,1
Panacea,Panacea,EPBCheatCommandType::AddItem,Panacea,1
FaerieMedicine,FaerieMedicine,EPBCheatCommandType::AddItem,FaerieMedicine,1
FaerieElixir,FaerieElixir,EPBCheatCommandType::AddItem,FaerieElixir,1
FaerieAllheal,FaerieAllheal,EPBCheatCommandType::AddItem,FaerieAllheal,1
FaeriePanacea,FaeriePanacea,EPBCheatCommandType::AddItem,FaeriePanacea,1
Alkhahest,Alkhahest,EPBCheatCommandType::AddItem,Alkhahest,1
Sulfur,Sulfur,EPBCheatCommandType::AddItem,Sulfur,1
Saltpeter,Saltpeter,EPBCheatCommandType::AddItem,Saltpeter,1
Mercury,Mercury,EPBCheatCommandType::AddItem,Mercury,1
Sulfate,Sulfate,EPBCheatCommandType::AddItem,Sulfate,1
Gunpowder,Gunpowder,EPBCheatCommandType::AddItem,Gunpowder,1
Ectoplasm,Ectoplasm,EPBCheatCommandType::AddItem,Ectoplasm,1
Bronze,Bronze,EPBCheatCommandType::AddItem,Bronze,1
Iron,Iron,EPBCheatCommandType::AddItem,Iron,1
Obsidian,Obsidian,EPBCheatCommandType::AddItem,Obsidian,1
Steel,Steel,EPBCheatCommandType::AddItem,Steel,1
Silver,Silver,EPBCheatCommandType::AddItem,Silver,1
DamascusSteel,DamascusSteel,EPBCheatCommandType::AddItem,DamascusSteel,1
Mithril,Mithril,EPBCheatCommandType::AddItem,Mithril,1
Platinum,Platinum,EPBCheatCommandType::AddItem,Platinum,1
Clystal,Clystal,EPBCheatCommandType::AddItem,Clystal,1
Gold,Gold,EPBCheatCommandType::AddItem,Gold,1
Hihiirokane,Hihiirokane,EPBCheatCommandType::AddItem,Hihiirokane,1
Orichalcum,Orichalcum,EPBCheatCommandType::AddItem,Orichalcum,1
Hemp,Hemp,EPBCheatCommandType::AddItem,Hemp,1
Cotton,Cotton,EPBCheatCommandType::AddItem,Cotton,1
Felt,Felt,EPBCheatCommandType::AddItem,Felt,1
Silk,Silk,EPBCheatCommandType::AddItem,Silk,1
Leather,Leather,EPBCheatCommandType::AddItem,Leather,1
Halite,Halite,EPBCheatCommandType::AddItem,Halite,1
ElmLumber,ElmLumber,EPBCheatCommandType::AddItem,ElmLumber,1
OakLumber,OakLumber,EPBCheatCommandType::AddItem,OakLumber,1
WalnutLumber,WalnutLumber,EPBCheatCommandType::AddItem,WalnutLumber,1
MahoganyLumber,MahoganyLumber,EPBCheatCommandType::AddItem,MahoganyLumber,1
CypressLumber,CypressLumber,EPBCheatCommandType::AddItem,CypressLumber,1
Ruby,Ruby,EPBCheatCommandType::AddItem,Ruby,1
Sapphire,Sapphire,EPBCheatCommandType::AddItem,Sapphire,1
Emerald,Emerald,EPBCheatCommandType::AddItem,Emerald,1
Diamond,Diamond,EPBCheatCommandType::AddItem,Diamond,1
Bixbite,Bixbite,EPBCheatCommandType::AddItem,Bixbite,1
Alexandrite,Alexandrite,EPBCheatCommandType::AddItem,Alexandrite,1
8BitCoin,8BitCoin,EPBCheatCommandType::AddItem,8BitCoin,1
16BitCoin,16BitCoin,EPBCheatCommandType::AddItem,16BitCoin,1
32BitCoin,32BitCoin,EPBCheatCommandType::AddItem,32BitCoin,1
MaxHPUP,MaxHPUP,EPBCheatCommandType::AddItem,MaxHPUP,1
MaxMPUP,MaxMPUP,EPBCheatCommandType::AddItem,MaxMPUP,1
MaxBulletUP,MaxBulletUP,EPBCheatCommandType::AddItem,MaxBulletUP,1
HPFullRecovery,HPFullRecovery,EPBCheatCommandType::AddItem,HPFullRecovery,1
MPFullRecovery,MPFullRecovery,EPBCheatCommandType::AddItem,MPFullRecovery,1
KungFuShoes,KungFuShoes,EPBCheatCommandType::AddItem,KungFuShoes,1
BattleBoots,BattleBoots,EPBCheatCommandType::AddItem,BattleBoots,1
KillerBoots,KillerBoots,EPBCheatCommandType::AddItem,KillerBoots,1
Toyshoes,Toyshoes,EPBCheatCommandType::AddItem,Toyshoes,1
Assaultsollette,Assaultsollette,EPBCheatCommandType::AddItem,Assaultsollette,1
Rabbitboots,Rabbitboots,EPBCheatCommandType::AddItem,Rabbitboots,1
Dragonshoes,Dragonshoes,EPBCheatCommandType::AddItem,Dragonshoes,1
Hermesshoes,Hermesshoes,EPBCheatCommandType::AddItem,Hermesshoes,1
Decapitator,Decapitator,EPBCheatCommandType::AddItem,Decapitator,1
CoolShoesOfMrNarita,CoolShoesOfMrNarita,EPBCheatCommandType::AddItem,CoolShoesOfMrNarita,1
CoolShoesOfMrNarita2,CoolShoesOfMrNarita2,EPBCheatCommandType::AddItem,CoolShoesOfMrNarita2,1
CoolShoesOfMrNarita3,CoolShoesOfMrNarita3,EPBCheatCommandType::AddItem,CoolShoesOfMrNarita3,1
IceSlewShoes,IceSlewShoes,EPBCheatCommandType::AddItem,IceSlewShoes,1
IceSlewShoes2,IceSlewShoes2,EPBCheatCommandType::AddItem,IceSlewShoes2,1
IceSlewShoes3,IceSlewShoes3,EPBCheatCommandType::AddItem,IceSlewShoes3,1
PoisonSpikeShoes,PoisonSpikeShoes,EPBCheatCommandType::AddItem,PoisonSpikeShoes,1
PoisonSpikeShoes2,PoisonSpikeShoes2,EPBCheatCommandType::AddItem,PoisonSpikeShoes2,1
PoisonSpikeShoes3,PoisonSpikeShoes3,EPBCheatCommandType::AddItem,PoisonSpikeShoes3,1
Knife,Knife,EPBCheatCommandType::AddItem,Knife,1
Baselard,Baselard,EPBCheatCommandType::AddItem,Baselard,1
Kukuri,Kukuri,EPBCheatCommandType::AddItem,Kukuri,1
PoisonKukri,PoisonKukri,EPBCheatCommandType::AddItem,PoisonKukri,1
Swordbreaker,Swordbreaker,EPBCheatCommandType::AddItem,Swordbreaker,1
ManGauche,ManGauche,EPBCheatCommandType::AddItem,ManGauche,1
Calnwenan,Calnwenan,EPBCheatCommandType::AddItem,Calnwenan,1
Mandaupasar,Mandaupasar,EPBCheatCommandType::AddItem,Mandaupasar,1
Rapier,Rapier,EPBCheatCommandType::AddItem,Rapier,1
Epe,Epe,EPBCheatCommandType::AddItem,Epe,1
Stinger,Stinger,EPBCheatCommandType::AddItem,Stinger,1
Miserikorde,Miserikorde,EPBCheatCommandType::AddItem,Miserikorde,1
Cazilk,Cazilk,EPBCheatCommandType::AddItem,Cazilk,1
Juwuse,Juwuse,EPBCheatCommandType::AddItem,Juwuse,1
CrystalSword,CrystalSword,EPBCheatCommandType::AddItem,CrystalSword,1
CrystalSword2,CrystalSword2,EPBCheatCommandType::AddItem,CrystalSword2,1
CrystalSword3,CrystalSword3,EPBCheatCommandType::AddItem,CrystalSword3,1
ShortSword,ShortSword,EPBCheatCommandType::AddItem,ShortSword,1
LongSword,LongSword,EPBCheatCommandType::AddItem,LongSword,1
WolfBalt,WolfBalt,EPBCheatCommandType::AddItem,WolfBalt,1
Halper,Halper,EPBCheatCommandType::AddItem,Halper,1
invisible,invisible,EPBCheatCommandType::AddItem,invisible,1
Mulgres,Mulgres,EPBCheatCommandType::AddItem,Mulgres,1
Redumbrella,Redumbrella,EPBCheatCommandType::AddItem,Redumbrella,1
Burtgang,Burtgang,EPBCheatCommandType::AddItem,Burtgang,1
Flagarach,Flagarach,EPBCheatCommandType::AddItem,Flagarach,1
Hoffdo,Hoffdo,EPBCheatCommandType::AddItem,Hoffdo,1
Dineslave,Dineslave,EPBCheatCommandType::AddItem,Dineslave,1
Florenberg,Florenberg,EPBCheatCommandType::AddItem,Florenberg,1
Armas,Armas,EPBCheatCommandType::AddItem,Armas,1
Caradoborg,Caradoborg,EPBCheatCommandType::AddItem,Caradoborg,1
Liddyl,Liddyl,EPBCheatCommandType::AddItem,Liddyl,1
HuntedBrad,HuntedBrad,EPBCheatCommandType::AddItem,HuntedBrad,1
Broadsword,Broadsword,EPBCheatCommandType::AddItem,Broadsword,1
SwordWhip,SwordWhip,EPBCheatCommandType::AddItem,SwordWhip,1
BradBlingerLv1,BradBlingerLv1,EPBCheatCommandType::AddItem,BradBlingerLv1,1
ShieldWeapon,ShieldWeapon,EPBCheatCommandType::AddItem,ShieldWeapon,1
ShieldWeapon2,ShieldWeapon2,EPBCheatCommandType::AddItem,ShieldWeapon2,1
ShieldWeapon3,ShieldWeapon3,EPBCheatCommandType::AddItem,ShieldWeapon3,1
XrossBrade,XrossBrade,EPBCheatCommandType::AddItem,XrossBrade,1
XrossBrade2,XrossBrade2,EPBCheatCommandType::AddItem,XrossBrade2,1
XrossBrade3,XrossBrade3,EPBCheatCommandType::AddItem,XrossBrade3,1
BradeOfEU,BradeOfEU,EPBCheatCommandType::AddItem,BradeOfEU,1
BradeOfEU2,BradeOfEU2,EPBCheatCommandType::AddItem,BradeOfEU2,1
BradeOfEU3,BradeOfEU3,EPBCheatCommandType::AddItem,BradeOfEU3,1
LightSaber,LightSaber,EPBCheatCommandType::AddItem,LightSaber,1
LightSaber2,LightSaber2,EPBCheatCommandType::AddItem,LightSaber2,1
LightSaber3,LightSaber3,EPBCheatCommandType::AddItem,LightSaber3,1
JodoSwordLight,JodoSwordLight,EPBCheatCommandType::AddItem,JodoSwordLight,1
JodoSwordLight2,JodoSwordLight2,EPBCheatCommandType::AddItem,JodoSwordLight2,1
JodoSwordLight3,JodoSwordLight3,EPBCheatCommandType::AddItem,JodoSwordLight3,1
SpearCutDownAside,SpearCutDownAside,EPBCheatCommandType::AddItem,SpearCutDownAside,1
SpearCutDownAside2,SpearCutDownAside2,EPBCheatCommandType::AddItem,SpearCutDownAside2,1
SpearCutDownAside3,SpearCutDownAside3,EPBCheatCommandType::AddItem,SpearCutDownAside3,1
ClockSowrd,ClockSowrd,EPBCheatCommandType::AddItem,ClockSowrd,1
LoveOfPizza,LoveOfPizza,EPBCheatCommandType::AddItem,LoveOfPizza,1
KongSword,KongSword,EPBCheatCommandType::AddItem,KongSword,1
SwordOfTheMushroom,SwordOfTheMushroom,EPBCheatCommandType::AddItem,SwordOfTheMushroom,1
PowerSword,PowerSword,EPBCheatCommandType::AddItem,PowerSword,1
SilverAndBlackSword,SilverAndBlackSword,EPBCheatCommandType::AddItem,SilverAndBlackSword,1
DungeonNightSword,DungeonNightSword,EPBCheatCommandType::AddItem,DungeonNightSword,1
EvilTheSword,EvilTheSword,EPBCheatCommandType::AddItem,EvilTheSword,1
ValkyrieSword,ValkyrieSword,EPBCheatCommandType::AddItem,ValkyrieSword,1
Mace,Mace,EPBCheatCommandType::AddItem,Mace,1
Morgenstern,Morgenstern,EPBCheatCommandType::AddItem,Morgenstern,1
McAutil,McAutil,EPBCheatCommandType::AddItem,McAutil,1
Yagurushi,Yagurushi,EPBCheatCommandType::AddItem,Yagurushi,1
Aimur,Aimur,EPBCheatCommandType::AddItem,Aimur,1
Charwell,Charwell,EPBCheatCommandType::AddItem,Charwell,1
Mistrutein,Mistrutein,EPBCheatCommandType::AddItem,Mistrutein,1
StickOfMagiGirl,StickOfMagiGirl,EPBCheatCommandType::AddItem,StickOfMagiGirl,1
StickOfMagiGirl2,StickOfMagiGirl2,EPBCheatCommandType::AddItem,StickOfMagiGirl2,1
StickOfMagiGirl3,StickOfMagiGirl3,EPBCheatCommandType::AddItem,StickOfMagiGirl3,1
RemoteDart,RemoteDart,EPBCheatCommandType::AddItem,RemoteDart,1
OracleBlade,OracleBlade,EPBCheatCommandType::AddItem,OracleBlade,1
WalalSoulimo,WalalSoulimo,EPBCheatCommandType::AddItem,WalalSoulimo,1
ValralAltar,ValralAltar,EPBCheatCommandType::AddItem,ValralAltar,1
Claymore,Claymore,EPBCheatCommandType::AddItem,Claymore,1
Perex,Perex,EPBCheatCommandType::AddItem,Perex,1
Flanders,Flanders,EPBCheatCommandType::AddItem,Flanders,1
OutsiderKnightSword,OutsiderKnightSword,EPBCheatCommandType::AddItem,OutsiderKnightSword,1
Valdish,Valdish,EPBCheatCommandType::AddItem,Valdish,1
SteamFlatWideEnd,SteamFlatWideEnd,EPBCheatCommandType::AddItem,SteamFlatWideEnd,1
Gram,Gram,EPBCheatCommandType::AddItem,Gram,1
Gambanttain,Gambanttain,EPBCheatCommandType::AddItem,Gambanttain,1
Lohengrin,Lohengrin,EPBCheatCommandType::AddItem,Lohengrin,1
Sherdar,Sherdar,EPBCheatCommandType::AddItem,Sherdar,1
LightningBolt,LightningBolt,EPBCheatCommandType::AddItem,LightningBolt,1
Karadanda,Karadanda,EPBCheatCommandType::AddItem,Karadanda,1
Durandal,Durandal,EPBCheatCommandType::AddItem,Durandal,1
DiesIle,DiesIle,EPBCheatCommandType::AddItem,DiesIle,1
TurmericBasara,TurmericBasara,EPBCheatCommandType::AddItem,TurmericBasara,1
Exactor,Exactor,EPBCheatCommandType::AddItem,Exactor,1
DeathBringer,DeathBringer,EPBCheatCommandType::AddItem,DeathBringer,1
DeathBringer2,DeathBringer2,EPBCheatCommandType::AddItem,DeathBringer2,1
DeathBringer3,DeathBringer3,EPBCheatCommandType::AddItem,DeathBringer3,1
SacredSword,SacredSword,EPBCheatCommandType::AddItem,SacredSword,1
SacredSword2,SacredSword2,EPBCheatCommandType::AddItem,SacredSword2,1
SacredSword3,SacredSword3,EPBCheatCommandType::AddItem,SacredSword3,1
ChargeWideEnd,ChargeWideEnd,EPBCheatCommandType::AddItem,ChargeWideEnd,1
ChargeWideEnd2,ChargeWideEnd2,EPBCheatCommandType::AddItem,ChargeWideEnd2,1
ChargeWideEnd3,ChargeWideEnd3,EPBCheatCommandType::AddItem,ChargeWideEnd3,1
DrillWideEnd,DrillWideEnd,EPBCheatCommandType::AddItem,DrillWideEnd,1
DrillWideEnd2,DrillWideEnd2,EPBCheatCommandType::AddItem,DrillWideEnd2,1
DrillWideEnd3,DrillWideEnd3,EPBCheatCommandType::AddItem,DrillWideEnd3,1
PetrifactionSword,PetrifactionSword,EPBCheatCommandType::AddItem,PetrifactionSword,1
PetrifactionSword2,PetrifactionSword2,EPBCheatCommandType::AddItem,PetrifactionSword2,1
PetrifactionSword3,PetrifactionSword3,EPBCheatCommandType::AddItem,PetrifactionSword3,1
Dull,Dull,EPBCheatCommandType::AddItem,Dull,1
Noda,Noda,EPBCheatCommandType::AddItem,Noda,1
Tsurumaru,Tsurumaru,EPBCheatCommandType::AddItem,Tsurumaru,1
ShiroTorujiro,ShiroTorujiro,EPBCheatCommandType::AddItem,ShiroTorujiro,1
Lightningoff,Lightningoff,EPBCheatCommandType::AddItem,Lightningoff,1
OgreWoodenSword,OgreWoodenSword,EPBCheatCommandType::AddItem,OgreWoodenSword,1
Tadanako,Tadanako,EPBCheatCommandType::AddItem,Tadanako,1
Swordsman,Swordsman,EPBCheatCommandType::AddItem,Swordsman,1
MikazukiMaen,MikazukiMaen,EPBCheatCommandType::AddItem,MikazukiMaen,1
Truesixteenthnight,Truesixteenthnight,EPBCheatCommandType::AddItem,Truesixteenthnight,1
Spear,Spear,EPBCheatCommandType::AddItem,Spear,1
Reims,Reims,EPBCheatCommandType::AddItem,Reims,1
Partizan,Partizan,EPBCheatCommandType::AddItem,Partizan,1
Excavator,Excavator,EPBCheatCommandType::AddItem,Excavator,1
Triplet,Triplet,EPBCheatCommandType::AddItem,Triplet,1
ShingoGempo,ShingoGempo,EPBCheatCommandType::AddItem,ShingoGempo,1
Coldgrindingsaw,Coldgrindingsaw,EPBCheatCommandType::AddItem,Coldgrindingsaw,1
Aradovar,Aradovar,EPBCheatCommandType::AddItem,Aradovar,1
Nibbleheim,Nibbleheim,EPBCheatCommandType::AddItem,Nibbleheim,1
GunungNil,GunungNil,EPBCheatCommandType::AddItem,GunungNil,1
Gayalsals,Gayalsals,EPBCheatCommandType::AddItem,Gayalsals,1
IcePillarSpear,IcePillarSpear,EPBCheatCommandType::AddItem,IcePillarSpear,1
IcePillarSpear2,IcePillarSpear2,EPBCheatCommandType::AddItem,IcePillarSpear2,1
IcePillarSpear3,IcePillarSpear3,EPBCheatCommandType::AddItem,IcePillarSpear3,1
LoveOfFairyDragon,LoveOfFairyDragon,EPBCheatCommandType::AddItem,LoveOfFairyDragon,1
LoveOfFairyDragon2,LoveOfFairyDragon2,EPBCheatCommandType::AddItem,LoveOfFairyDragon2,1
LoveOfFairyDragon3,LoveOfFairyDragon3,EPBCheatCommandType::AddItem,LoveOfFairyDragon3,1
Awhip,Awhip,EPBCheatCommandType::AddItem,Awhip,1
Ibarakaswhip,Ibarakaswhip,EPBCheatCommandType::AddItem,Ibarakaswhip,1
FireWhip,FireWhip,EPBCheatCommandType::AddItem,FireWhip,1
BlackRockHell,BlackRockHell,EPBCheatCommandType::AddItem,BlackRockHell,1
Snakebyte,Snakebyte,EPBCheatCommandType::AddItem,Snakebyte,1
BeastKiller,BeastKiller,EPBCheatCommandType::AddItem,BeastKiller,1
Albireo,Albireo,EPBCheatCommandType::AddItem,Albireo,1
Andromeda,Andromeda,EPBCheatCommandType::AddItem,Andromeda,1
WhipsOfLightDarkness,WhipsOfLightDarkness,EPBCheatCommandType::AddItem,WhipsOfLightDarkness,1
WhipsOfLightDarkness2,WhipsOfLightDarkness2,EPBCheatCommandType::AddItem,WhipsOfLightDarkness2,1
WhipsOfLightDarkness3,WhipsOfLightDarkness3,EPBCheatCommandType::AddItem,WhipsOfLightDarkness3,1
Musketon,Musketon,EPBCheatCommandType::AddItem,Musketon,1
Branderbus,Branderbus,EPBCheatCommandType::AddItem,Branderbus,1
Tanegasima,Tanegasima,EPBCheatCommandType::AddItem,Tanegasima,1
Trador,Trador,EPBCheatCommandType::AddItem,Trador,1
Carvalin,Carvalin,EPBCheatCommandType::AddItem,Carvalin,1
Betelgeuse,Betelgeuse,EPBCheatCommandType::AddItem,Betelgeuse,1
Ursula,Ursula,EPBCheatCommandType::AddItem,Ursula,1
Adrastea,Adrastea,EPBCheatCommandType::AddItem,Adrastea,1
TrustMusket,TrustMusket,EPBCheatCommandType::AddItem,TrustMusket,1
TrustMusket2,TrustMusket2,EPBCheatCommandType::AddItem,TrustMusket2,1
TrustMusket3,TrustMusket3,EPBCheatCommandType::AddItem,TrustMusket3,1
AriesHorns,AriesHorns,EPBCheatCommandType::AddItem,AriesHorns,1
Headband,Headband,EPBCheatCommandType::AddItem,Headband,1
PirateTriangleCap,PirateTriangleCap,EPBCheatCommandType::AddItem,PirateTriangleCap,1
DurahanMaherm,DurahanMaherm,EPBCheatCommandType::AddItem,DurahanMaherm,1
Circlet,Circlet,EPBCheatCommandType::AddItem,Circlet,1
Garbohat,Garbohat,EPBCheatCommandType::AddItem,Garbohat,1
Santacap,Santacap,EPBCheatCommandType::AddItem,Santacap,1
Beastberet,Beastberet,EPBCheatCommandType::AddItem,Beastberet,1
CatEars,CatEars,EPBCheatCommandType::AddItem,CatEars,1
CowboyHat,CowboyHat,EPBCheatCommandType::AddItem,CowboyHat,1
WolfHood,WolfHood,EPBCheatCommandType::AddItem,WolfHood,1
Circletoffire,Circletoffire,EPBCheatCommandType::AddItem,Circletoffire,1
Icecirclet,Icecirclet,EPBCheatCommandType::AddItem,Icecirclet,1
Thunderscirclet,Thunderscirclet,EPBCheatCommandType::AddItem,Thunderscirclet,1
BraveBeret,BraveBeret,EPBCheatCommandType::AddItem,BraveBeret,1
Crowhat,Crowhat,EPBCheatCommandType::AddItem,Crowhat,1
GadgetBand,GadgetBand,EPBCheatCommandType::AddItem,GadgetBand,1
FeatherCrown,FeatherCrown,EPBCheatCommandType::AddItem,FeatherCrown,1
SilverTiara,SilverTiara,EPBCheatCommandType::AddItem,SilverTiara,1
Magushat,Magushat,EPBCheatCommandType::AddItem,Magushat,1
Cutebeastberet,Cutebeastberet,EPBCheatCommandType::AddItem,Cutebeastberet,1
BunnyEars,BunnyEars,EPBCheatCommandType::AddItem,BunnyEars,1
Dentistshat,Dentistshat,EPBCheatCommandType::AddItem,Dentistshat,1
Maidheadband,Maidheadband,EPBCheatCommandType::AddItem,Maidheadband,1
Westernhat,Westernhat,EPBCheatCommandType::AddItem,Westernhat,1
ribbon,ribbon,EPBCheatCommandType::AddItem,ribbon,1
Flightcapoftraveler,Flightcapoftraveler,EPBCheatCommandType::AddItem,Flightcapoftraveler,1
HermitsBeret,HermitsBeret,EPBCheatCommandType::AddItem,HermitsBeret,1
KitsuneMask,KitsuneMask,EPBCheatCommandType::AddItem,KitsuneMask,1
DemonHorns,DemonHorns,EPBCheatCommandType::AddItem,DemonHorns,1
ElderTiara,ElderTiara,EPBCheatCommandType::AddItem,ElderTiara,1
Recyclehat,Recyclehat,EPBCheatCommandType::AddItem,Recyclehat,1
Pleiades,Pleiades,EPBCheatCommandType::AddItem,Pleiades,1
HumptyDumpty,HumptyDumpty,EPBCheatCommandType::AddItem,HumptyDumpty,1
LoveOfBenki,LoveOfBenki,EPBCheatCommandType::AddItem,LoveOfBenki,1
Plan9FOSpace,Plan9FOSpace,EPBCheatCommandType::AddItem,Plan9FOSpace,1
Mega64Head,Mega64Head,EPBCheatCommandType::AddItem,Mega64Head,1
ValkyrieTiara,ValkyrieTiara,EPBCheatCommandType::AddItem,ValkyrieTiara,1
Muffler,Muffler,EPBCheatCommandType::AddItem,Muffler,1
Turbinemuffler,Turbinemuffler,EPBCheatCommandType::AddItem,Turbinemuffler,1
Batwing,Batwing,EPBCheatCommandType::AddItem,Batwing,1
Outlinestyle,Outlinestyle,EPBCheatCommandType::AddItem,Outlinestyle,1
Made-to-order,Made-to-order,EPBCheatCommandType::AddItem,Made-to-order,1
Usagimuffler,Usagimuffler,EPBCheatCommandType::AddItem,Usagimuffler,1
FaerieScarf,FaerieScarf,EPBCheatCommandType::AddItem,FaerieScarf,1
Sendomuffler,Sendomuffler,EPBCheatCommandType::AddItem,Sendomuffler,1
Firemuffler,Firemuffler,EPBCheatCommandType::AddItem,Firemuffler,1
TalismanScarf,TalismanScarf,EPBCheatCommandType::AddItem,TalismanScarf,1
OvertheRainbow,OvertheRainbow,EPBCheatCommandType::AddItem,OvertheRainbow,1
Eyeglasses,Eyeglasses,EPBCheatCommandType::AddItem,Eyeglasses,1
Elfearcap,Elfearcap,EPBCheatCommandType::AddItem,Elfearcap,1
Enlargedglasses,Enlargedglasses,EPBCheatCommandType::AddItem,Enlargedglasses,1
Horuseyes,Horuseyes,EPBCheatCommandType::AddItem,Horuseyes,1
Stonemask,Stonemask,EPBCheatCommandType::AddItem,Stonemask,1
Crowmask,Crowmask,EPBCheatCommandType::AddItem,Crowmask,1
sunglasses,sunglasses,EPBCheatCommandType::AddItem,sunglasses,1
