Key,Value/Type,Value/CraftItemId,Value/CraftValue,Value/RankMin,Value/RankMax,Value/Ingredient1Id,Value/Ingredient1Total,Value/Ingredient2Id,Value/Ingredient2Total,Value/Ingredient3Id,Value/Ingredient3Total,Value/Ingredient4Id,Value/Ingredient4Total,Value/OpenKeyRecipeID,Value/openCondition,Value/openParameter,Value/firstTimeBonusSpecialEffectId,Value/Alkhahest,Value/FirstBonusType/0,Value/FirstBonusType/1,Value/FirstBonusType/2,Value/FirstBonusType/3,Value/FirstBonusType/4,Value/FirstBonusType/5,Value/FirstBonusType/6,Value/FirstBonusType/7,Value/FirstBonusType/8,Value/FirstBonusValue/0,Value/FirstBonusValue/1,Value/FirstBonusValue/2,Value/FirstBonusValue/3,Value/FirstBonusValue/4,Value/FirstBonusValue/5,Value/FirstBonusValue/6,Value/FirstBonusValue/7,Value/FirstBonusValue/8
DiesIle,ECraftType::Craft,DiesIle,1,0,0,Durandal,1,Hihiirokane,1,Marbasfang,1,None,0,ArmsRecipe009,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
TurmericBasara,ECraftType::Craft,TurmericBasara,1,0,0,DiesIle,1,LightningBolt,1,Orichalcum,1,CypressLumber,1,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Exactor,ECraftType::Craft,Exactor,1,0,0,DiesIle,1,Orichalcum,2,Gieremundfang,1,None,0,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Knife,ECraftType::Craft,Knife,1,0,0,Bronze,1,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Baselard,ECraftType::Craft,Baselard,1,0,0,Iron,4,Bronze,1,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Kukuri,ECraftType::Craft,Kukuri,1,0,0,Iron,4,OakLumber,2,None,0,None,0,None,EPBCraftRequirement::None,999,None,2,,,,,,,,,,,,,,,,,,
PoisonKukri,ECraftType::Craft,PoisonKukri,1,0,0,Kukuri,1,Poison,2,None,0,None,0,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Swordbreaker,ECraftType::Craft,Swordbreaker,1,0,0,Mithril,2,DamascusSteel,1,None,0,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
ManGauche,ECraftType::Craft,ManGauche,1,0,0,Swordbreaker,1,Gold,1,Steel,1,None,0,ArmsRecipe007,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Calnwenan,ECraftType::Craft,Calnwenan,1,0,0,ManGauche,1,Hihiirokane,1,None,0,None,0,ArmsRecipe009,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Mandaupasar,ECraftType::Craft,Mandaupasar,1,0,0,Calnwenan,1,Orichalcum,1,Bloodybone,1,None,0,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Rapier,ECraftType::Craft,Rapier,1,0,0,Bronze,3,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Epe,ECraftType::Craft,Epe,1,0,0,Iron,2,Obsidian,2,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Stinger,ECraftType::Craft,Stinger,1,0,0,Epe,1,Steel,2,Poison,1,None,0,ArmsRecipe003,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Miserikorde,ECraftType::Craft,Miserikorde,1,0,0,Clystal,2,Ruby,1,Sapphire,1,Emerald,1,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Cazilk,ECraftType::Craft,Cazilk,1,0,0,Miserikorde,1,Clystal,1,Gold,1,None,0,Miserikorde,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Juwuse,ECraftType::Craft,Juwuse,1,0,0,Cazilk,1,Gold,1,Orichalcum,1,Bixbite,1,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Dull,ECraftType::Craft,Dull,1,0,0,Bronze,3,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Noda,ECraftType::Craft,Noda,1,0,0,Iron,3,Bronze,1,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Tsurumaru,ECraftType::Craft,Tsurumaru,1,0,0,Obsidian,3,Iron,2,None,0,None,0,ArmsRecipe004,EPBCraftRequirement::None,999,None,2,,,,,,,,,,,,,,,,,,
ShiroTorujiro,ECraftType::Craft,ShiroTorujiro,1,0,0,DamascusSteel,1,Steel,1,Morgenstern,1,None,0,ArmsRecipe003,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Lightningoff,ECraftType::Craft,Lightningoff,1,0,0,DamascusSteel,3,Thunderring,1,None,0,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Tadanako,ECraftType::Craft,Tadanako,1,0,0,Clystal,1,Platinum,1,Mithril,1,None,0,ArmsRecipe019,EPBCraftRequirement::None,999,None,5,,,,,,,,,,,,,,,,,,
MikazukiMaen,ECraftType::Craft,MikazukiMaen,1,0,0,Tadanako,1,Hihiirokane,1,MahoganyLumber,1,None,0,ArmsRecipe009,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Truesixteenthnight,ECraftType::Craft,Truesixteenthnight,1,0,0,MikazukiMaen,1,Orichalcum,1,CypressLumber,1,None,0,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
KungFuShoes,ECraftType::Craft,KungFuShoes,1,0,0,DemonDogSkin,2,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
BattleBoots,ECraftType::Craft,BattleBoots,1,0,0,Hemp,3,DemonDogSkin,3,ManeLion,1,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
KillerBoots,ECraftType::Craft,KillerBoots,1,0,0,BattleBoots,1,Baselard,1,Hemp,2,None,0,BattleBoots,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Toyshoes,ECraftType::Craft,Toyshoes,1,0,0,Cotton,2,Decarabialeather,1,Giantratteeth,1,None,0,None,EPBCraftRequirement::None,999,None,2,,,,,,,,,,,,,,,,,,
Assaultsollette,ECraftType::Craft,Assaultsollette,1,0,0,DamascusSteel,2,Steel,2,None,0,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Rabbitboots,ECraftType::Craft,Rabbitboots,1,0,0,Toyshoes,1,Lilimtail,2,Lilimear,1,None,0,Toyshoes,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Dragonshoes,ECraftType::Craft,Dragonshoes,1,0,0,Felt,2,Dragonbone,2,Dragonscales,2,Flamering,1,ArmsRecipe019,EPBCraftRequirement::None,999,None,5,,,,,,,,,,,,,,,,,,
Hermesshoes,ECraftType::Craft,Hermesshoes,1,0,0,Dragonshoes,1,Apenail,1,WalalSoulimo,1,None,0,Dragonshoes,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Decapitator,ECraftType::Craft,Decapitator,1,0,0,Hermesshoes,1,Marbasfang,1,Dineslave,1,None,0,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Spear,ECraftType::Craft,Spear,1,0,0,ElmLumber,1,Bronze,2,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Reims,ECraftType::Craft,Reims,1,0,0,ElmLumber,2,Iron,3,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Partizan,ECraftType::Craft,Partizan,1,0,0,OakLumber,1,Steel,1,None,0,None,0,ArmsRecipe003,EPBCraftRequirement::None,999,None,2,,,,,,,,,,,,,,,,,,
Excavator,ECraftType::Craft,Excavator,1,0,0,DamascusSteel,2,None,0,None,0,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Triplet,ECraftType::Craft,Triplet,1,0,0,WalnutLumber,3,Obsidian,1,None,0,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
ShingoGempo,ECraftType::Craft,ShingoGempo,1,0,0,ShiroTorujiro,1,MahoganyLumber,2,None,0,None,0,ShiroTorujiro,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Coldgrindingsaw,ECraftType::Craft,Coldgrindingsaw,1,0,0,ShingoGempo,1,Diamond,1,None,0,None,0,ShingoGempo,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Aradovar,ECraftType::Craft,Aradovar,1,0,0,CypressLumber,1,Hihiirokane,1,Flamering,1,None,0,ArmsRecipe009,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Nibbleheim,ECraftType::Craft,Nibbleheim,1,0,0,CypressLumber,1,Hihiirokane,1,Icering,1,None,0,ArmsRecipe009,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
GunungNil,ECraftType::Craft,GunungNil,1,0,0,CypressLumber,1,Hihiirokane,1,Thunderring,1,None,0,ArmsRecipe009,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Gayalsals,ECraftType::Craft,Gayalsals,1,0,0,Aradovar,1,Nibbleheim,1,GunungNil,1,None,0,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Mace,ECraftType::Craft,Mace,1,0,0,ElmLumber,1,Bronze,2,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Morgenstern,ECraftType::Craft,Morgenstern,1,0,0,ElmLumber,2,Iron,2,Obsidian,1,None,0,ArmsRecipe004,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
McAutil,ECraftType::Craft,McAutil,1,0,0,OakLumber,2,Obsidian,2,DamascusSteel,1,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Yagurushi,ECraftType::Craft,Yagurushi,1,0,0,WalnutLumber,2,Thunderring,1,None,0,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Aimur,ECraftType::Craft,Aimur,1,0,0,MahoganyLumber,1,Gold,1,None,0,None,0,ArmsRecipe019,EPBCraftRequirement::None,999,None,5,,,,,,,,,,,,,,,,,,
Charwell,ECraftType::Craft,Charwell,1,0,0,Aimur,1,Bixbite,1,Icering,1,None,0,Aimur,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Mistrutein,ECraftType::Craft,Mistrutein,1,0,0,Charwell,1,Karadanda,1,Bloodybone,1,None,0,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Awhip,ECraftType::Craft,Awhip,1,0,0,DemonDogSkin,2,Hemp,1,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Ibarakaswhip,ECraftType::Craft,Ibarakaswhip,1,0,0,DemonDogSkin,3,Batfang,4,ManeLion,2,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
FireWhip,ECraftType::Craft,FireWhip,1,0,0,Decarabialeather,2,DemonCloth,2,Ruby,1,None,0,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
BlackRockHell,ECraftType::Craft,BlackRockHell,1,0,0,Decarabialeather,3,MonsterBirdHair,4,MocoOil,3,MeltingSkull,1,ArmsRecipe018,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Snakebyte,ECraftType::Craft,Snakebyte,1,0,0,DevilBookLeather,2,Lerajecloth,2,DevilRoyalTail,3,Dragonscales,1,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
BeastKiller,ECraftType::Craft,BeastKiller,1,0,0,Decimaleather,2,Lamastutail,3,Silverwolffur,3,None,0,ArmsRecipe019,EPBCraftRequirement::None,999,None,5,,,,,,,,,,,,,,,,,,
Albireo,ECraftType::Craft,Albireo,1,0,0,BeastKiller,1,Glashtynhair,2,Icering,1,None,0,BeastKiller,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Andromeda,ECraftType::Craft,Andromeda,1,0,0,Albireo,1,Abyssguardianbastard,2,Diamond,1,Bloodyskull,1,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
Musketon,ECraftType::Craft,Musketon,1,0,0,ElmLumber,1,Bronze,1,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Branderbus,ECraftType::Craft,Branderbus,1,0,0,ElmLumber,2,Iron,3,None,0,None,0,None,EPBCraftRequirement::None,999,None,1,,,,,,,,,,,,,,,,,,
Tanegasima,ECraftType::Craft,Tanegasima,1,0,0,OakLumber,1,Steel,2,None,0,None,0,ArmsRecipe003,EPBCraftRequirement::None,999,None,2,,,,,,,,,,,,,,,,,,
Trador,ECraftType::Craft,Trador,1,0,0,WalnutLumber,1,DamascusSteel,1,None,0,None,0,ArmsRecipe005,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
Carvalin,ECraftType::Craft,Carvalin,1,0,0,WalnutLumber,1,Platinum,1,Mithril,1,None,0,ArmsRecipe018,EPBCraftRequirement::None,999,None,4,,,,,,,,,,,,,,,,,,
Betelgeuse,ECraftType::Craft,Betelgeuse,1,0,0,MahoganyLumber,1,Gold,1,Clystal,1,None,0,ArmsRecipe007,EPBCraftRequirement::None,999,None,5,,,,,,,,,,,,,,,,,,
Ursula,ECraftType::Craft,Ursula,1,0,0,Betelgeuse,1,CypressLumber,1,Hihiirokane,1,None,0,Betelgeuse,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
Adrastea,ECraftType::Craft,Adrastea,1,0,0,Ursula,1,Orichalcum,2,Bloodyskull,1,None,0,ArmsRecipe020,EPBCraftRequirement::None,999,None,8,,,,,,,,,,,,,,,,,,
CrystalSword,ECraftType::Craft,CrystalSword,1,0,0,8BitCoin,1,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
CrystalSword2,ECraftType::Craft,CrystalSword2,1,0,0,CrystalSword,1,16BitCoin,1,None,0,None,0,CrystalSword,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
CrystalSword3,ECraftType::Craft,CrystalSword3,1,0,0,CrystalSword2,1,32BitCoin,1,Medal022,1,None,0,CrystalSword2,EPBCraftRequirement::None,999,None,9,,,,,,,,,,,,,,,,,,
WhipsOfLightDarkness,ECraftType::Craft,WhipsOfLightDarkness,1,0,0,8BitCoin,1,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
WhipsOfLightDarkness2,ECraftType::Craft,WhipsOfLightDarkness2,1,0,0,WhipsOfLightDarkness,1,16BitCoin,1,None,0,None,0,WhipsOfLightDarkness,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
WhipsOfLightDarkness3,ECraftType::Craft,WhipsOfLightDarkness3,1,0,0,WhipsOfLightDarkness2,1,32BitCoin,1,Medal022,1,None,0,WhipsOfLightDarkness2,EPBCraftRequirement::None,999,None,9,,,,,,,,,,,,,,,,,,
ShieldWeapon,ECraftType::Craft,ShieldWeapon,1,0,0,8BitCoin,1,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
ShieldWeapon2,ECraftType::Craft,ShieldWeapon2,1,0,0,ShieldWeapon,1,16BitCoin,1,None,0,None,0,ShieldWeapon,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
ShieldWeapon3,ECraftType::Craft,ShieldWeapon3,1,0,0,ShieldWeapon2,1,32BitCoin,1,Medal022,1,None,0,ShieldWeapon2,EPBCraftRequirement::None,999,None,9,,,,,,,,,,,,,,,,,,
DeathBringer,ECraftType::Craft,DeathBringer,1,0,0,8BitCoin,1,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
DeathBringer2,ECraftType::Craft,DeathBringer2,1,0,0,DeathBringer,1,16BitCoin,1,None,0,None,0,DeathBringer,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
DeathBringer3,ECraftType::Craft,DeathBringer3,1,0,0,DeathBringer2,1,32BitCoin,1,Medal022,1,None,0,DeathBringer2,EPBCraftRequirement::None,999,None,9,,,,,,,,,,,,,,,,,,
IcePillarSpear,ECraftType::Craft,IcePillarSpear,1,0,0,8BitCoin,1,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
IcePillarSpear2,ECraftType::Craft,IcePillarSpear2,1,0,0,IcePillarSpear,1,16BitCoin,1,None,0,None,0,IcePillarSpear,EPBCraftRequirement::None,999,None,6,,,,,,,,,,,,,,,,,,
IcePillarSpear3,ECraftType::Craft,IcePillarSpear3,1,0,0,IcePillarSpear2,1,32BitCoin,1,Medal022,1,None,0,IcePillarSpear2,EPBCraftRequirement::None,999,None,9,,,,,,,,,,,,,,,,,,
SacredSword,ECraftType::Craft,SacredSword,1,0,0,8BitCoin,1,None,0,None,0,None,0,None,EPBCraftRequirement::None,999,None,3,,,,,,,,,,,,,,,,,,
